Relation type to GLP-1 RA,Entity type,,,,Nodes (Entity type)
CAUSES, Extreme Shedding,,,, Success Stories
CAUSES, Tiredness,,,, .25_Volume
CAUSES, Grouchy,,,, .5_Volume
CAUSES, Grumpy,,,, Proprioception Issues
CAUSES, Bleeding,,,, Indulging
CAUSES, Severe Stomach Pain,,,, Elevated Liver Enzyme
CAUSES, Gassiness,,,, Old Habits
CAUSES, Reflux,,,, Bingeing
CAUSES, Bone Ache,,,, Antibiotic
CAUSES, Energy_Loss,,,, Calories Counting
CAUSES, Starvation Mode,,,, Defeat
CAUSES, Vomit,,,, American Health Care
CAUSES, Side_Effects,,,, Death_Thoughts
CAUSES, Bedridden,,,, Liquid_Bms
CAUSES, Weakness,,,, Spinal Stenosis
CAUSES, Weight_Gain,,,, Tylenol
CAUSES, Heavy Period,,,, Gabapentin
CAUSES, Dehydration,,,, Tramadol
CAUSES, Miserable_Feeling,,,, Meds
CAUSES, Nausea,,,, Experiences
CAUSES, Vomiting,,,, Antibiotics
CAUSES, Nausea,,,, Express Scripts
CAUSES, Diarrhea,,,, Reglan
CAUSES, Vomiting,,,, Ekg
CAUSES, Weight Gain 53Lbs,,,, Emergency_Room
CAUSES, Cold Hands And Feet,,,, Dosage
CAUSES, Numbness,,,, E.Coli
CAUSES, Trembling,,,, 30 Lbs
CAUSES, Weight Gain,,,, 62 Lbs
CAUSES, Dizziness,,,, Shot_0.25
CAUSES, Bedridden,,,, 13_Pounds
CAUSES, Suffering,,,, 40 Lbs
CAUSES, Walking Difficulty,,,, 0.25 Mg Injection
CAUSES, Side_Effects,,,, Success
CAUSES, Fatigue,,,, Cancerous Tumor
CAUSES, Depression,,,, Perfect Blood Sugar
CAUSES, Dizziness,,,, 30 Pounds
CAUSES, Fatigue,,,, 10 Lbs
CAUSES, Headache,,,, 40Lbs Weight Loss
CAUSES, Bleeding,,,, 17 Pounds
CAUSES, Constipation,,,, 20Kg
CAUSES, Memory Loss,,,, Misery
CAUSES, Diarrhea,,,, 20Lbs
CAUSES, Vomiting,,,, 8 Lbs
CAUSES, Appetite Loss,,,, 40 Pounds
CAUSES, Weight Gain,,,, 90Kg
CAUSES, Blood Loss,,,, 15Kg
CAUSES_IRRITATION, Irritated Skin,,,, 27 Pounds
CAUSES_IRRITATION, Irritated Skin,,,, 10Kg
CAUSES_SYMPTOM, Anxiety,,,, 270Lbs
CAUSES_SYMPTOM, Anxiety,,,, 4 Lbs
CAUSING, Pain,,,, 30Lbs
CAUSING, Pain,,,, Icu
INCREASED_TO,0.36,,,, 48.8 Kg
CAUTION_WITH, Thyroid Cancer,,,, 107.5 Pounds
CAUTION_WITH, Thyroid Cancer,,,, Medical Insurance
CELEBRATED, Mum,,,, Health Insurance Loss
CELEBRATED, Mum,,,,0.1
CELEBRATES, High School Graduation,,,, December
CELEBRATES, High School Graduation,,,, Update
CHALLENGE, Weight Loss,,,, Endo
CHALLENGE, Weight Loss,,,, Primary Care Physician
CHANGE, Appetite,,,, Transatlantic Flight
CHANGE, Pant_Size,,,, Baby Planning
CHANGE, Appetite,,,, Gallbladder Attack
CHANGE, Pant_Size,,,, June
CHANGE_DOSE, 0.5Mg,,,,November 21
CHANGE_DOSE, 0.5Mg,,,, 161 Pounds
CHANGED_TO, 140 Lbs,,,, 400 Pounds
CHANGED_TO, 140 Lbs,,,,212
CHECK_IN, August,,,, November
CHECK_IN, August,,,,September 2021
CHECK_RESULT, Fine,,,,June 2022
CHECK_RESULT, Fine,,,,July 2022
CHECKED_FOR, Pancreas,,,, New_Job
CHECKED_FOR, Diverticulosis,,,, Wellbutrin
CHECKED_FOR, Pancreas,,,, Resistance Training Program
CHECKED_FOR, Diverticulosis,,,,204
CHOLESTEROL_CHANGE,168,,,,19
CHOLESTEROL_CHANGE,168,,,, 5'4/221 Lbs
CLOSE_TO, High Normal Reading,,,, Keto
CLOSE_TO, Goal Weight,,,, April/May
CLOSE_TO, High Normal Reading,,,,October 21
CLOSE_TO, Goal Weight,,,, August_7
CO,OCCURS,,,, November 29Th 2021
CO,OCCURS,,,, August 24Th
CO,OCCURS,,,, 0.25Ml Dose
CO,OCCURS,,,,2018
CO,OCCURS,,,, .5 Dose
CO,OCCURS,,,, 188 Pounds
COEXISTS_WITH, Pcos,,,, Starting Wt 212
COEXISTS_WITH, Pcos,,,, 158 Lbs
COMMUNICATES_WITH, Nurse,,,,230
COMMUNICATES_WITH, Nurse,,,, 34Lbs
COMPARABLE_TO, Ozempic,,,, Sold Out
COMPARABLE_TO, Ozempic,,,, Numbness And Dizziness
COMPARES, Ozempic,,,, Unknown Period
COMPARES, Ozempic,,,, Brisbane
COMPARISON, Victoza,,,, April
COMPARISON, 35 Pounds,,,, January 26Th
COMPARISON, Victoza,,,, Walking_Normal
COMPARISON, 35 Pounds,,,, Sweetened Drinks
COMPLAINED_TO, Provider,,,, Issues
COMPLAINED_TO, Provider,,,, Oz 1Mg
CONCERN, Pregnancy,,,, Health Reason
CONCERN, Pregnancy,,,, Caloricdeficit
CONCERN, Weightloss,,,, Rest
CONCERN, Pregnancy,,,, Hernia
CONCERN, Pregnancy,,,, Unsupportive Partner
CONCERN, Weightloss,,,, Cyclizine
CONCERNED_ABOUT, Best Friend'S Wedding,,,, Labetolol
CONCERNED_ABOUT, Hunger_Levels,,,, Vyvanse
CONCERNED_ABOUT, Best Friend'S Wedding,,,, 100 Lbs
CONCERNED_ABOUT, Hunger_Levels,,,,120
CONCERNED_WITH, Ozempic,,,, Non
CONCERNED_WITH, Ozempic,,,, 900 Calories
CONCERNS, Tolerance,,,, 1200 Calories
CONCERNS, Relapse,,,, Restart
CONCERNS, Pancreatitis,,,, 8Th Week
CONCERNS, Weight Gain,,,, 20 Years
CONCERNS, Existence,,,, 1.5 Dosage
CONCERNS, Tolerance,,,,199
CONCERNS, Relapse,,,, 19Lbs
CONCERNS, Pancreatitis,,,, 28 Pounds
INCREASED_TO,0.5,,,, 97Lbs
CONCERNS, Weight Gain,,,, A & E
CONCERNS, Existence,,,, Nuevo Progresso
INCREASED_TO,1.75,,,, Patient
CONCERNS_ABOUT, Severe Side Effects,,,, Tsh
CONCERNS_ABOUT, Severe Side Effects,,,, Nausea Meds
CONDUCTED_AT, Urgent Care,,,, Smaller Meals
CONDUCTED_AT, Urgent Care,,,, Vitamins
CONDUCTED_WITH, Abdominal Ct Scan,,,, Laxative
CONDUCTED_WITH, Abdominal Ct Scan,,,, Stoolsoftener
CONFUSING, Hypoglycemia,,,, Nausea Medication
INCREASED_TO,0.25,,,, Insulin Resistant Pcos
CONFUSING, Hypoglycemia,,,, Metabolic Disorder
CONSIDERATION_FOR_PROGRAM, Eating Disorder Program,,,, Constipated Flu
CONSIDERATION_FOR_PROGRAM, Eating Disorder Program,,,, Milk Of Magnesia
CONSIDERATIONS, Metformin,,,, Tums
CONSIDERATIONS, Inositol,,,, Pepto
STARTS_AT, Dosage_0.25,,,, Pepcid
CONSIDERATIONS, Metformin,,,, B12
CONSIDERATIONS, Inositol,,,, Electrolytes
CONSIDERED, Water Intake,,,, Gas X
CONSIDERED, Food Intake,,,, Rebylsus
CONSIDERED, Water Intake,,,, Glp
CONSIDERED, Food Intake,,,, Anaphylactic Reaction
CONSIDERED_CAUSE, Gallstones,,,, Tortilla
CONSIDERED_CAUSE, Gallstones,,,, Internet
CONSIDERING, Weight Management,,,, Health Insurance
CONSIDERING, Urgent Care,,,, Vsg
CONSIDERING, Er,,,, Ivf Treatments
CONSIDERING, Wegovy,,,, Weight_Loss_Surgery
CONSIDERING, Berberine,,,, Hormone Replacement
CONSIDERING, Maintenance_Dose,,,, Blood_Work_April_2021
CONSIDERING, Liraglutide,,,, Blood_Work_February_2022
CONSIDERING, Weight Management,,,, Gastric Sleeve
CONSIDERING, Urgent Care,,,, Blood Tests
CONSIDERING, Er,,,, Stool Sample
CONSIDERING, Wegovy,,,, Metformine
CONSIDERING, Berberine,,,, Semaglutide
CONSIDERING, Maintenance_Dose,,,, Otc Sleep Aid
CONSIDERING, Liraglutide,,,, 2 Years
CONSIDERING_DOSE, 0.14Mg,,,, New Knee
CONSIDERING_DOSE, 0.14Mg,,,, One Month
CONSIDERING_FOR, Music Festival,,,, 6_Months
CONSIDERING_FOR, Music Festival,,,, Treatment
CONSIDERING_FOR, Music Festival,,,, Blood Sugar Regulation
CONSIDERING_FOR, Music Festival,,,, One Year Mark On Ozempic
CONSIDERING_SWITCHING_TO, Saxenda,,,, Initial Weight Loss
CONSIDERING_SWITCHING_TO, Rybelsus,,,, Glucose Control
CONSIDERING_SWITCHING_TO, Saxenda,,,, Cholesterol Reduction
CONSIDERING_SWITCHING_TO, Rybelsus,,,, 5 Months
CONSIDERING_TO_SKIP, .25Mg,,,, 0.5 Dose
CONSIDERING_TO_SKIP, .25Mg,,,, Full Pens
CONSIDERING_VISIT, Walk,,,, Apple Watch
CONSIDERING_VISIT, Walk,,,, Precision Xtra
CONSIDERS, Single,,,, Weight Loss Drug
CONSIDERS, Partner,,,, Cgm
CONSIDERS, Single,,,, Treadmill
CONSIDERS, Partner,,,, Click Dosing
CONSULT_WITH, Doctor,,,, Fiber Gummies
CONSULT_WITH, Doctor,,,, Probiotic/Prebiotic Gummy
CONSULTED, Doctor,,,, Magnesium Glycinate
CONSULTED, Doctor,,,, Needle
CONSULTED, Ozempic,,,, Gravol
CONSULTED, Hypoglycemic Incident,,,, Myfitnesspal
CONSULTED, Doctor,,,, Egypt
CONSULTED, Gp,,,, Doc
CONSULTED, Psychologist,,,, Walgreens
CONSULTED, Hypoglycemic Incident,,,, Brother
CONSULTED, Endocrinologist,,,, 1 Ml
CONSULTED, Doctor,,,, Bile
CONSULTED, Doctor,,,, Payday
CONSULTED, Doctor,,,, Basal Metabolic Rate
CONSULTED, Doctor,,,, Sugar Control
CONSULTED, Ozempic,,,, 413 Pounds
CONSULTED, Hypoglycemic Incident,,,, 88Kg
CONSULTED, Doctor,,,, 26+ Years Ago
CONSULTED, Gp,,,, 7 Pounds
CONSULTED, Psychologist,,,, 108.5Kg
CONSULTED, Hypoglycemic Incident,,,,282.8
CONSULTED, Endocrinologist,,,, 324Lbs
CONSULTED, Doctor,,,, 105Kg
CONSULTED, Doctor,,,, 180Lbs
CONSULTS, Doctor,,,, 120+Lbs
CONSULTS, Physician,,,, 50 Lbs
CONSULTS, Doctor,,,, 210Lbs
CONSULTS, Doctors,,,, 80Lbs
CONSULTS, Doctor,,,, 36.1Kg
CONSULTS, Physician,,,, Cw:162 Lbs
CONSULTS, Doctor,,,, 107.4Kg
CONSULTS, Doctors,,,,225
CONSUMED, Water,,,, 305Lbs
CONSUMED, Water,,,,100
CONSUMED_WITH, Water,,,, 225Lbs
CONSUMED_WITH, Water,,,,January 22
CONSUMES, Protein_Shake,,,, 15Lbs
CONSUMES, Protein_Shake,,,, Weight Lost
CONTACT, Doctor,,,, 45Lbs
CONTACT, Doctor,,,, 92Kg
CONTAINS, 0.5Mg,,,, 388Lbs
CONTAINS, 0.5Mg,,,,195
CONTEMPLATES, Quit,,,,198
CONTEMPLATES, Quit,,,, 3X A Week
CONTRACTED, Covid,,,, Dr'S Office
CONTRACTED, Covid,,,, Reactive_Hypoglycemia
CONTRAINDICATED_WITH, Ozempic,,,, Neuropathy
CONTRAINDICATED_WITH, Ozempic,,,,
CONTRAINDICATES, Ozempic,,,,
CONTRAINDICATES, Ozempic,,,,
CONTRIBUTE_TO, Global Shortage,,,,
CONTRIBUTE_TO, Global Shortage,,,,
CONTRIBUTE_TO, Global Shortage,,,,
CONTRIBUTE_TO, Global Shortage,,,,
CONTRIBUTED, 38 Pounds,,,,
CONTRIBUTED, 38 Pounds,,,,
CONTRIBUTED_TO, Weight Loss,,,,
CONTRIBUTED_TO, Weight_Loss,,,,
CONTRIBUTED_TO, Weight_Loss,,,,
CONTRIBUTED_TO, Weight Loss,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Weight_Loss,,,,
CONTRIBUTED_TO, Weightloss,,,,
CONTRIBUTED_TO, Weight Gain,,,,
CONTRIBUTED_TO, Weight Loss,,,,
CONTRIBUTED_TO, Weight_Loss,,,,
CONTRIBUTED_TO, Weight_Loss,,,,
CONTRIBUTED_TO, Weight Loss,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Swollenfeet,,,,
CONTRIBUTED_TO, Weight_Loss,,,,
CONTRIBUTED_TO, Weightloss,,,,
CONTRIBUTED_TO, Weight Gain,,,,
CONTRIBUTES_TO, Weight_Loss,,,,
CONTRIBUTES_TO, Maintenance Stories,,,,
CONTRIBUTES_TO, Weight Maintenance,,,,
CONTRIBUTES_TO, Weight Maintenance,,,,
CONTRIBUTES_TO, Obesity,,,,
CONTRIBUTES_TO, Illness,,,,
CONTRIBUTES_TO, Weight_Loss,,,,
CONTRIBUTES_TO, Maintenance Stories,,,,
CONTRIBUTES_TO, Weight Maintenance,,,,
CONTRIBUTES_TO, Weight Maintenance,,,,
CONTRIBUTES_TO, Obesity,,,,
CONTRIBUTES_TO, Illness,,,,
CONTROLLED, Sugar Level,,,,
CONTROLLED, Sugar Level,,,,
CONTROLLED_BY, Gerd,,,,
CONTROLLED_BY, Gerd,,,,
COOCCURRED_WITH, Abdomen Pain,,,,
COOCCURRED_WITH, Abdomen Pain,,,,
CORRELATES_WITH, Appetite,,,,
CORRELATES_WITH, Appetite,,,,
COST, Money,,,,
COST, Money,,,,
COST, Insurance,,,,
COST, Money,,,,
COST, Money,,,,
COST, Insurance,,,,
COST_TO_REFILL, Marks Marine,,,,
COST_TO_REFILL, Marks Marine,,,,
COSTUME_FOR_EVENT, Sons Costume,,,,
COSTUME_FOR_EVENT, Sons Costume,,,,
COVERED, Prescription,,,,
STARTS_AT, 0.25 Dosage,,,,
STARTS_AT, 0.50 Dosage,,,,
COVERED, Ozempic,,,,
COVERED, Prescription,,,,
COVERED, Ozempic,,,,
COVERED_BY, Insurance,,,,
COVERED_BY, Ozempic,,,,
COVERED_BY, Insurance,,,,
COVERED_BY, Ozempic,,,,
COVERS, Ozempic,,,,
COVERS, Medication,,,,
COVERS, Ontario_Drug_Benefits_Program,,,,
COVERS, Ozempic,,,,
COVERS,3,,,,
COVERS, Medication,,,,
COVERS, Weight Loss Drugs,,,,
COVERS, Ozempic,,,,
COVERS, Medication,,,,
COVERS, Ontario_Drug_Benefits_Program,,,,
COVERS, Ozempic,,,,
COVERS,3,,,,
COVERS, Medication,,,,
COVERS, Weight Loss Drugs,,,,
COVERS_COST, Medication,,,,
COVERS_COST, Medication,,,,
CURRENT_BODY_FAT,February 2,,,,
CURRENT_BODY_FAT,February 2,,,,
CURRENT_CONDITION, Pms,,,,
CURRENT_CONDITION, Pms,,,,
CURRENT_DAY, Sunday,,,,
CURRENT_DAY, Sunday,,,,
CURRENT_DOSAGE,0.5,,,,
CURRENT_DOSAGE,0.27,,,,
CURRENT_DOSAGE,0.5,,,,
CURRENT_DOSAGE,0.27,,,,
CURRENT_DOSE, 1Mg,,,,
CURRENT_DOSE, 1Mg,,,,
CURRENT_LEVEL,250,,,,
CURRENT_LEVEL,250,,,,
CURRENT_MEASUREMENT,February 2,,,,
CURRENT_MEASUREMENT,February 2,,,,
CURRENT_SYMPTOM, Medication,,,,
CURRENT_SYMPTOM, Medication,,,,
CURRENT_WEIGHT, 152 Pounds,,,,
CURRENT_WEIGHT, Today: 165,,,,
CURRENT_WEIGHT,194,,,,
CURRENT_WEIGHT, 360 Pounds,,,,
CURRENT_WEIGHT,161,,,,
CURRENT_WEIGHT, Current Weight,,,,
CURRENT_WEIGHT,198.4,,,,
CURRENT_WEIGHT, 124.1Kg,,,,
CURRENT_WEIGHT, 136.2 Lbs,,,,
CURRENT_WEIGHT,180,,,,
CURRENT_WEIGHT, 160Lbs,,,,
CURRENT_WEIGHT, 81Kg Current Weight,,,,
CURRENT_WEIGHT,308,,,,
CURRENT_WEIGHT, 94Kg,,,,
CURRENT_WEIGHT, 152 Pounds,,,,
CURRENT_WEIGHT, Today: 165,,,,
CURRENT_WEIGHT,194,,,,
CURRENT_WEIGHT, 360 Pounds,,,,
CURRENT_WEIGHT,161,,,,
CURRENT_WEIGHT, Current Weight,,,,
CURRENT_WEIGHT,198.4,,,,
CURRENT_WEIGHT, 124.1Kg,,,,
CURRENT_WEIGHT, 136.2 Lbs,,,,
CURRENT_WEIGHT,180,,,,
CURRENT_WEIGHT, 160Lbs,,,,
CURRENT_WEIGHT, 81Kg Current Weight,,,,
CURRENT_WEIGHT,308,,,,
CURRENT_WEIGHT, 94Kg,,,,
CURRENTLY_TAKING, Ozempic,,,,
CURRENTLY_TAKING, Ozempic,,,,
D,AFFECTED_BY,,,,
D,AFFECTED_BY,,,,
DAILY_CALORIE_NORM,800,,,,
DAILY_CALORIE_NORM,800,,,,
DECIDED_ON, Ozempic,,,,
DECIDED_ON, Ozempic,,,,
DECLINED_COVERAGE, Ozempic,,,,
DECLINED_COVERAGE, Ozempic,,,,
DECREASE,0.5,,,,
DECREASE,0.5,,,,
DECREASED_FROM, 38% Body Fat,,,,
DECREASED_FROM, 38% Body Fat,,,,
DECREASED_TO, Weight Of 149,,,,
DECREASED_TO,14,,,,
DECREASED_TO, Weight Of 149,,,,
DECREASED_TO,14,,,,
DECREASES, Hunger,,,,
DECREASES, Physical Activity,,,,
DECREASES, Hunger,,,,
DECREASES, Physical Activity,,,,
DELAYED_FILL,2.5,,,,
DELAYED_FILL,2.5,,,,
DELAYS, Gastric Emptying,,,,
DELAYS, Gastric Emptying,,,,
DENIED, O,,,,
DENIED, Psychiatrist,,,,
DENIED, Cash_Payment,,,,
DENIED, Ozempic,,,,
DENIED, O,,,,
DENIED, Psychiatrist,,,,
DENIED, Cash_Payment,,,,
DENIED, Ozempic,,,,
DENIED_COVERAGE_FOR, Ozempic,,,,
DENIED_COVERAGE_FOR, Ozempic,,,,
DESCRIBES,300,,,,
DESCRIBES,50,,,,
DESCRIBES,300,,,,
DESCRIBES,50,,,,
DESIRED_OUTCOME, Oz,,,,
DESIRED_OUTCOME, Oz,,,,
DETECTED_BY, Ultrasound,,,,
DETECTED_BY, Ultrasound,,,,
DEVELOPS, Self_Love,,,,
DEVELOPS, Self_Love,,,,
DEVELOPS_INTO, Infections,,,,
DEVELOPS_INTO, Infections,,,,
Diabetic,HAS_METRIC,,,,
Diabetic,RELATED_TO,,,,
Diabetic,RELATED_TO,,,,
Diabetic,REASON_FOR_TAKING,,,,
Diabetic,HAS_METRIC,,,,
Diabetic,RELATED_TO,,,,
Diabetic,RELATED_TO,,,,
Diabetic,REASON_FOR_TAKING,,,,
DIAGNOSED, Diabetes,,,,
DIAGNOSED, Prediabetes,,,,
DIAGNOSED, Prediabetes,,,,
DIAGNOSED, Diabetes,,,,
DIAGNOSED, Diabetes,,,,
DIAGNOSED, Prediabetes,,,,
DIAGNOSED, Prediabetes,,,,
DIAGNOSED, Diabetes,,,,
DIAGNOSED_AS, Stomach_Virus,,,,
DIAGNOSED_AS, Colitis,,,,
DIAGNOSED_AS, Stomach_Virus,,,,
DIAGNOSED_AS, Colitis,,,,
DIAGNOSED_AT,15,,,,
DIAGNOSED_AT,15,,,,
DIAGNOSED_WITH, Pcos,,,,
DIAGNOSED_WITH, Kidney Stones,,,,
DIAGNOSED_WITH, Insulin Resistance,,,,
DIAGNOSED_WITH, Binge Eating Disorder,,,,
DIAGNOSED_WITH, Anorexia,,,,
DIAGNOSED_WITH, Adhd,,,,
DIAGNOSED_WITH, A1C,,,,
DIAGNOSED_WITH, Diverticulosis,,,,
DIAGNOSED_WITH, Pcos,,,,
DIAGNOSED_WITH, Prediabetes,,,,
DIAGNOSED_WITH, Pots,,,,
DIAGNOSED_WITH, T2,,,,
DIAGNOSED_WITH, Ir Pcos,,,,
DIAGNOSED_WITH, Hashimoto’S,,,,
DIAGNOSED_WITH, Fibromyalgia,,,,
DIAGNOSED_WITH, Pcos,,,,
DIAGNOSED_WITH, Kidney Stones,,,,
DIAGNOSED_WITH, Insulin Resistance,,,,
DIAGNOSED_WITH, Binge Eating Disorder,,,,
DIAGNOSED_WITH, Anorexia,,,,
DIAGNOSED_WITH, Adhd,,,,
DIAGNOSED_WITH, A1C,,,,
DIAGNOSED_WITH, Diverticulosis,,,,
DIAGNOSED_WITH, Pcos,,,,
DIAGNOSED_WITH, Prediabetes,,,,
DIAGNOSED_WITH, Pots,,,,
DIAGNOSED_WITH, T2,,,,
DIAGNOSED_WITH, Ir Pcos,,,,
DIAGNOSED_WITH, Hashimoto’S,,,,
DIAGNOSED_WITH, Fibromyalgia,,,,
DIAGNOSES, Celiac,,,,
DIAGNOSES, Fissure,,,,
DIAGNOSES, Celiac,,,,
DIAGNOSES, Fissure,,,,
DIED_DURING, Pandemic,,,,
DIED_DURING, Pandemic,,,,
DIET_INCLUDES, Water,,,,
DIET_INCLUDES, Oatmeal,,,,
DIET_INCLUDES, Apple,,,,
DIET_INCLUDES, Almonds,,,,
DIET_INCLUDES, Turkey,,,,
DIET_INCLUDES, Protein Drink,,,,
DIET_INCLUDES, Water,,,,
DIET_INCLUDES, Oatmeal,,,,
DIET_INCLUDES, Apple,,,,
DIET_INCLUDES, Almonds,,,,
DIET_INCLUDES, Turkey,,,,
DIET_INCLUDES, Protein Drink,,,,
DIET_TYPE, Fasting,,,,
DIET_TYPE, Fasting,,,,
DIET_USED, Paleo,,,,
DIET_USED, Protein Bars,,,,
DIET_USED, Paleo,,,,
DIET_USED, Protein Bars,,,,
DISCONTINUE, Pregnancy,,,,
DISCONTINUE, Ozempic,,,,
DISCONTINUE, Drug,,,,
USED_IN, Ireland,,,,
DISCONTINUE, Pregnancy,,,,
DISCONTINUE, Ozempic,,,,
DISCONTINUE, Drug,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Mounjaro,,,,
DISCONTINUED, Saxenda,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Oxy,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Metformin,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Mounjaro,,,,
DISCONTINUED, Saxenda,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Oxy,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Ozempic,,,,
DISCONTINUED, Metformin,,,,
DISCONTINUED_DUE_TO, Bug,,,,
DISCONTINUED_DUE_TO, Bug,,,,
DISCONTINUED_FOR, Surgery,,,,
DISCONTINUED_FOR, Surgery,,,,
DISCONTINUED_IN, February,,,,
DISCONTINUED_IN, February,,,,
DISCONTINUED_USE, Ozempic,,,,
DISCONTINUED_USE, Ozempic,,,,
DISCONTINUES, Plateau,,,,
DISCONTINUES, O,,,,
DISCONTINUES, Metformin,,,,
DISCONTINUES, Plateau,,,,
DISCONTINUES, O,,,,
DISCONTINUES, Metformin,,,,
DISCONTINUING, Ozempic,,,,
DISCONTINUING, Ozempic,,,,
DISCOURAGE_USE, Ozempic,,,,
DISCOURAGE_USE, Ozempic,,,,
DISCOURAGES_USE_OF, Ozempic,,,,
DISCOURAGES_USE_OF, Ozempic,,,,
DISCUSS, Ozempic,,,,
DISCUSS, Zofran,,,,
DISCUSS, Kidney Labs,,,,
DISCUSS, Ozempic,,,,
DISCUSS, Zofran,,,,
DISCUSS, Kidney Labs,,,,
DISCUSSED_WITH, Friend,,,,
DISCUSSED_WITH, Friend,,,,
DISCUSSES, Ozempic,,,,
DISCUSSES, Ozempic,,,,
DISCUSSIONS_ON, Weight,,,,
DISCUSSIONS_ON, Weight,,,,
DISLIKED, Weightloss,,,,
DISLIKED, Weightloss,,,,
DISPENSED, Prescription,,,,
DISPENSED, Prescription,,,,
DISREGARDS, Water Consumption,,,,
DISREGARDS, Water Consumption,,,,
DISRUPTION, Ozempic,,,,
DISRUPTION, Ozempic,,,,
DISRUPTS, Ozempic,,,,
DISRUPTS, Ozempic,,,,
DOES_NOT_AFFECT, Weight Loss,,,,
DOES_NOT_AFFECT, Weight Loss,,,,
DOES_NOT_HELP, Weight Gain,,,,
DOES_NOT_HELP, Weight Gain,,,,
DOES_NOT_HELP, Weight Gain,,,,
DOES_NOT_HELP, Weight Gain,,,,
DOSAGE, 1Mg,,,,
DOSAGE, 0.25Mg,,,,
DOSAGE, 0.375Mg,,,,
DOSAGE,1.5,,,,
DOSAGE, 1Mg,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Week 6,,,,
DOSAGE, Week 5,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Week 4,,,,
DOSAGE, O,,,,
DOSAGE, 1Mg,,,,
DOSAGE, 0.25Mg,,,,
DOSAGE, 0.375Mg,,,,
DOSAGE,1.5,,,,
DOSAGE, 1Mg,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Week 6,,,,
DOSAGE, Week 5,,,,
DOSAGE, Ozempic,,,,
DOSAGE, Week 4,,,,
DOSAGE, O,,,,
USED_IN, Walking,,,,
DOSAGE_ADMINISTERED, People,,,,
DOSAGE_ADMINISTERED, People,,,,
DOSAGE_CHANGE, 0.25Mg,,,,
DOSAGE_CHANGE, 0.25Mg,,,,
DOSAGE_INCREASE, 1Mg,,,,
DOSAGE_INCREASE, 1Mg,,,,
DRINKS, 1 Gallon,,,,
DRINKS, 1 Gallon,,,,
DROPPED_BACK_TO, 4 Weeks Ago,,,,
DROPPED_BACK_TO, 4 Weeks Ago,,,,
DURATION, 3 Months,,,,
DURATION, 5 Weeks,,,,
DURATION, 10 Weeks,,,,
DURATION, 2 Weeks,,,,
DURATION, Anxiety,,,,
DURATION, Week,,,,
DURATION, 3 Weeks,,,,
DURATION, 3 Months,,,,
DURATION, 4 Weeks,,,,
DURATION, 3 Months,,,,
DURATION, 5 Weeks,,,,
DURATION, 10 Weeks,,,,
DURATION, 2 Weeks,,,,
DURATION, Anxiety,,,,
DURATION, Week,,,,
DURATION, 3 Weeks,,,,
DURATION, 3 Months,,,,
DURATION, 4 Weeks,,,,
DURATION_OF, 0.5Mg,,,,
DURATION_OF, 15 Pounds,,,,
DURATION_OF, Conceiving,,,,
DURATION_OF, 0.5Mg,,,,
DURATION_OF, 15 Pounds,,,,
DURATION_OF, Conceiving,,,,
DURATION_OF_USE, 6 Weeks,,,,
DURATION_OF_USE, 6 Weeks,,,,
DURING, Weight_Loss_Amount,,,,
DURING, Weight_Loss_Amount,,,,
EATEN, Wholegrain Toast,,,,
EATEN, Egg,,,,
EATEN, Rice Pudding,,,,
EATEN, Yogurt,,,,
EATEN, Pastrami,,,,
EATEN, White Bread Roll,,,,
EATEN, Bananas,,,,
EATEN, Multi Grain Bread,,,,
EATEN, Apple Juice,,,,
EATEN, Omelette,,,,
EATEN, Fat Free Cottage Cheese,,,,
EATEN, Dave'S Killer Bread Power Seed,,,,
EATEN, Chicken,,,,
EATEN, Vegetables,,,,
EATEN, Cauliflower Rice,,,,
EATEN, Fish,,,,
EATEN, Wholegrain Toast,,,,
